station_name;station_no;ts_id;ts_name;parametertype_name;stationparameter_name;from;to
Gauge - Indian River near Blakeney;02KF012;54721042;230.PeakMin;River Discharge;Q;2002-09-09 14:00:00;2018-07-16 13:35:00
Gauge - Indian River near Blakeney;02KF012;54722042;240.PeakMax;River Discharge;Q;;
Gauge - Mississippi River below Marble Lake;02KF016;54723042;230.PeakMin;River Discharge;Q;1999-09-04 18:00:00;2018-07-22 07:05:00
Gauge - Mississippi River below Marble Lake;02KF016;54724042;240.PeakMax;River Discharge;Q;1988-04-10 16:00:00;2018-04-30 12:20:00
Gauge - Buckshot Creek near Plevna;02KF017;54725042;230.PeakMin;River Discharge;Q;2002-09-25 00:00:00;2018-09-20 21:50:00
Gauge - Buckshot Creek near Plevna;02KF017;54726042;240.PeakMax;River Discharge;Q;1993-04-14 00:26:00;2018-04-28 19:20:00
Gauge - Fall River at outlet Bennett Lake;02KF018;54729042;230.PeakMin;River Discharge;Q;2004-09-09 06:00:00;2013-10-17 19:00:00
Gauge - Fall River at outlet Bennett Lake;02KF018;54730042;240.PeakMax;River Discharge;Q;2005-04-07 21:00:00;2018-05-04 19:45:00
Gauge - Mississippi River at outlet Dalhousie Lake;02KF019;54733042;230.PeakMin;River Discharge;Q;2004-11-22 07:00:00;2017-01-01 00:15:00
Gauge - Mississippi River at outlet Dalhousie Lake;02KF019;54734042;240.PeakMax;River Discharge;Q;2008-04-13 15:25:00;2017-05-09 08:50:00
Gauge - Mississippi River at Appleton;02KF006;55162042;226.SeasonalHistMean;River Discharge;Q;1918-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Clyde River near Lanark;02KF010;55163042;226.SeasonalHistMean;River Discharge;Q;1970-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Fall River at outlet Bennett Lake;02KF018;55164042;226.SeasonalHistMean;River Discharge;Q;2003-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Buckshot Creek near Plevna;02KF017;55165042;226.SeasonalHistMean;River Discharge;Q;1993-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Indian River near Blakeney;02KF012;55166042;226.SeasonalHistMean;River Discharge;Q;1971-12-01 00:00:00;2025-03-01 00:00:00
Gauge - Mississippi River at Ferguson Falls;02KF001;55167042;226.SeasonalHistMean;River Discharge;Q;1985-12-01 00:00:00;2025-03-01 00:00:00
